,LAT,LON,LICZB_LOKALI_MIESZKALNYCH,LICZBA_GOSPODARSTW,POPULACJA,POPULACJA_20_44
11890,51.070051,17.091558,1,1,1,1
11891,51.06797,17.033641,1,1,4,1
11892,51.081957,17.003968,1,2,2,0
11893,51.065738,17.011535,1,1,3,2
11894,51.092918,17.02948,10,9,12,1
11895,51.063424,17.034548,1,0,0,0
11896,51.06294,17.032951,1,0,0,0
11897,51.068396,17.038943,1,1,3,1
11898,51.086137,17.057029,24,9,27,12
11899,51.075867,17.043876,33,30,71,18
11900,51.073255,17.042457,14,15,31,4
11901,51.073831,16.997482,1,1,2,1
11902,51.074817,16.991232,1,0,0,0
11903,51.071971,16.990959,1,0,0,0
11904,51.08694,17.012089,10,7,11,3
11905,51.082972,17.009327,9,10,20,2
11906,51.063054,17.015744,1,1,2,0
11907,51.063438,17.013906,1,1,3,0
11908,51.059998,16.976222,3,1,5,4
11909,51.068324,17.000477,12,12,22,1
11910,51.068311,16.998833,8,9,22,7
11911,51.075052,17.013707,1,1,5,2
11912,51.094614,17.025137,15,14,24,15
11913,51.095597,17.070296,2,2,5,0
11914,51.052289,17.086443,1,1,5,0
11915,51.072731,16.991798,14,13,35,19
11916,51.073704,17.035482,20,19,45,30
11917,51.080679,17.085026,3,3,6,1
11918,51.06809,17.03826,1,1,5,0
11919,51.075272,16.996505,1,1,4,0
11920,51.058947,16.971641,1,1,4,2
11921,51.083524,17.003714,10,10,26,6
11922,51.053753,17.086131,2,1,1,0
11923,51.059814,17.028611,1,1,4,1
11924,51.053829,17.030907,1,1,3,0
11925,51.099191,17.020661,10,9,22,5
11926,51.055216,17.015612,1,1,3,3
11927,51.054657,17.016012,1,1,4,1
11928,51.087237,17.016226,14,9,19,5
11929,51.077093,17.014662,1,1,2,0
11930,51.075883,17.014035,2,2,6,2
11931,51.097573,17.03136,33,30,58,28
11932,51.055707,17.019709,2,0,0,0
11933,51.066892,16.975681,12,11,30,17
11934,51.077436,17.020701,10,9,21,3
11935,51.084928,17.039532,33,31,58,20
11936,51.083922,17.03649,28,27,52,8
11937,51.076605,17.04493,34,31,85,27
11938,51.07919,17.062577,11,12,25,9
11939,51.066587,17.005296,1,1,4,2
11940,51.066384,17.00541,1,1,4,0
11941,51.05154,17.021315,3,1,5,2
11942,51.05195,17.020323,1,1,4,2
11943,51.064008,17.015927,1,1,4,2
11944,51.049215,17.021973,1,0,0,0
11945,51.05588,17.015541,1,1,4,2
11946,51.089737,17.041786,10,11,30,11
11947,51.090654,17.035032,16,17,44,14
11948,51.086284,17.036593,10,8,22,7
11949,51.072267,16.997109,11,12,26,22
11950,51.073252,16.997141,1,0,0,0
11951,51.065729,17.079941,12,10,20,9
11952,51.055435,17.014026,1,1,4,1
11953,51.085889,17.006947,3,3,5,2
11954,51.067534,17.007972,1,1,1,0
11955,51.063103,16.975087,16,16,49,19
11956,51.059801,16.967973,2,2,5,3
11957,51.096567,17.027251,10,8,19,8
11958,51.060837,17.037563,1,1,1,0
11959,51.061465,17.039738,1,1,4,2
11960,51.098672,17.021596,55,47,90,45
11961,51.078597,17.059601,4,1,4,1
11962,51.054497,17.017725,1,1,1,0
11963,51.064756,17.033864,1,1,2,0
11964,51.072472,17.038321,8,8,21,7
11965,51.160407,17.137807,16,15,38,16
11966,51.158921,17.125397,1,1,7,1
11967,51.161389,17.130728,1,1,3,2
11968,51.156779,17.126949,1,0,0,0
11969,51.1107,17.06,1,0,0,0
11970,51.091265,16.989486,1,0,0,0
11971,51.123107,16.917962,1,1,1,0
11972,51.15355,16.906613,21,15,29,14
11973,51.074363,16.96405,1,1,3,1
11974,51.110834,16.965642,2,2,4,0
11975,51.107306,16.964116,1,1,5,3
11976,51.124346,16.963264,11,12,24,18
11977,51.077344,16.95722,8,8,18,8
11978,51.108623,16.967858,2,1,5,2
11979,51.13808,16.924861,1,1,4,2
11980,51.112476,16.966865,1,1,6,1
11981,51.163152,16.924695,1,1,6,0
11982,51.124538,16.994216,10,8,13,2
11983,51.081291,16.98867,9,10,26,9
11984,51.12726,16.988442,33,28,53,18
11985,51.145353,16.890632,1,1,7,2
11986,51.147655,16.936882,1,1,2,1
11987,51.174442,16.909981,1,1,4,3
11988,51.173688,16.908759,1,1,2,0
11989,51.138208,16.92345,1,1,6,1
11990,51.078256,16.977578,1,1,2,1
11991,51.076885,16.9781,2,2,4,0
